,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
30,31,38300000000,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,F,1939-10-10 00:00:00
31,31,38300000000,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,1935-10-15 00:00:00
32,33,38000000000,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,True,M,1928-06-13 00:00:00
33,34,35300000000,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,M,1971-10-29 00:00:00
34,35,35000000000,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,1945-10-10 00:00:00
35,35,35000000000,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,1968-10-15 00:00:00
36,37,34700000000,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,M,1992-05-07 00:00:00
37,38,33400000000,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,M,1969-01-01 00:00:00
38,39,32600000000,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,M,1949-02-07 00:00:00
39,40,32100000000,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,M,1957-06-01 00:00:00
40,41,31600000000,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1948-08-28 00:00:00
41,41,31600000000,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1951-01-09 00:00:00
42,43,31200000000,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,M,1940-06-27 00:00:00
43,43,31200000000,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,F,1945-03-26 00:00:00
44,45,30200000000,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,M,1980-02-02 00:00:00
45,46,29700000000,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,M,1935-04-20 00:00:00
46,47,29500000000,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1928-01-29 00:00:00
47,48,28500000000,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,M,1958-07-17 00:00:00
48,49,28100000000,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,M,1938-04-25 00:00:00
49,50,27800000000,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,M,1947-02-14 00:00:00
50,51,27400000000,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,F,1962-04-28 00:00:00
51,52,27000000000,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,F,1954-02-09 00:00:00
52,53,26700000000,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,M,1971-10-01 00:00:00
53,54,26600000000,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,M,1953-10-26 00:00:00
54,55,25600000000,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,M,1945-07-18 00:00:00
55,56,25500000000,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,M,1948-04-17 00:00:00
56,57,25300000000,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,M,1944-09-30 00:00:00
57,58,25200000000,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,M,1972-03-08 00:00:00
58,59,24600000000,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,M,1966-05-09 00:00:00
59,60,24400000000,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,F,1970-04-07 00:00:00
60,61,24200000000,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,M,1941-01-01 00:00:00
61,62,23700000000,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,M,1961-01-03 00:00:00
62,63,23500000000,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,M,1964-09-10 00:00:00
63,64,23400000000,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,M,1942-08-11 00:00:00
64,65,23100000000,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,F,1943-01-01 00:00:00
65,65,23100000000,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,M,1939-10-02 00:00:00
66,67,22900000000,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1953-01-01 00:00:00
67,68,22600000000,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,M,1941-05-11 00:00:00
68,69,22400000000,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,M,1957-08-11 00:00:00
69,70,22100000000,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,M,1956-05-07 00:00:00
70,71,22000000000,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,M,1970-09-18 00:00:00
71,72,21600000000,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,1961-12-19 00:00:00
72,72,21600000000,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,M,1955-08-11 00:00:00
73,74,21200000000,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,M,1986-09-19 00:00:00
74,74,21200000000,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,M,1970-10-01 00:00:00
75,76,21100000000,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,M,1963-02-17 00:00:00
76,77,21000000000,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,1933-03-19 00:00:00
77,77,21000000000,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,M,1945-06-10 00:00:00
78,79,20900000000,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,M,1965-09-26 00:00:00
79,80,20500000000,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,M,1950-09-01 00:00:00
80,81,20200000000,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,M,1938-08-12 00:00:00
81,82,19600000000,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,M,1961-11-18 00:00:00
82,83,19100000000,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,1949-08-08 00:00:00
83,84,19000000000,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,M,1963-06-01 00:00:00
84,84,19000000000,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,M,1968-03-01 00:00:00
85,86,18900000000,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,M,1950-06-02 00:00:00
86,86,18900000000,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,M,1965-04-17 00:00:00
87,88,18700000000,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,M,1966-02-15 00:00:00
88,89,18500000000,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,M,1945-12-11 00:00:00
89,89,18500000000,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,1957-09-11 00:00:00
90,89,18500000000,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,True,M,1952-11-09 00:00:00
91,92,18000000000,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1962-01-17 00:00:00
92,93,17700000000,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,False,M,1950-06-15 00:00:00
93,94,17500000000,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,1956-06-11 00:00:00
94,94,17500000000,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,True,M,1936-02-16 00:00:00
95,94,17500000000,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,India,False,F,1950-03-20 00:00:00
96,97,17400000000,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,True,M,1932-05-11 00:00:00
97,97,17400000000,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,M,1940-01-22 00:00:00
98,99,17100000000,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,M,1931-03-11 00:00:00
99,100,16700000000,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,F,1953-01-01 00:00:00
100,101,16500000000,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,M,1951-01-01 00:00:00
101,101,16500000000,Renata Kellnerova & family,55.0,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,F,1967-07-04 00:00:00
102,103,16300000000,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,Singapore,True,M,1951-01-01 00:00:00
103,104,16200000000,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,M,1947-10-04 00:00:00
104,104,16200000000,Eric Schmidt,67.0,United States,Atherton,Google,Technology,United States,True,M,1955-04-27 00:00:00
105,106,16000000000,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,1968-03-18 00:00:00
106,107,15900000000,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,China,True,M,1956-01-19 00:00:00
107,108,15800000000,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,False,M,
108,108,15800000000,Beate Heister,,,,Supermarkets,Fashion & Retail,Germany,False,F,
109,108,15800000000,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Beer,Food & Beverage,Brazil,True,M,1939-08-26 00:00:00
110,108,15800000000,Peter Woo,76.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,1946-09-05 00:00:00
111,112,15600000000,Dilip Shanghvi,67.0,India,Mumbai,Pharmaceuticals,Healthcare,India,True,M,1955-10-01 00:00:00
112,113,15500000000,Robert Pera,45.0,United States,San Jose,Wireless networking,Technology,United States,True,M,1978-03-10 00:00:00
113,114,15300000000,Radhakishan Damani,68.0,India,Mumbai,"Retail, investments",Fashion & Retail,India,True,M,1955-01-01 00:00:00
114,115,15200000000,Huang Shilin,56.0,China,Ningde,Batteries,Automotive,China,True,M,1967-01-01 00:00:00
115,116,14900000000,Dhanin Chearavanont,83.0,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,1939-04-19 00:00:00
116,116,14900000000,David Green & family,81.0,United States,Oklahoma City,Retail,Fashion & Retail,United States,True,M,1941-11-13 00:00:00
117,118,14800000000,Charoen Sirivadhanabhakdi,78.0,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,True,M,1944-05-02 00:00:00
118,119,14700000000,Charlene de Carvalho-Heineken & family,68.0,United Kingdom,London,Heineken,Food & Beverage,Netherlands,False,F,1954-06-30 00:00:00
119,120,14600000000,Xu Hang,60.0,China,Shenzhen,Medical devices,Healthcare,Hong Kong,True,M,1962-05-22 00:00:00
120,121,14500000000,Wei Jianjun & family,59.0,China,Baoding,Automobiles,Automotive,China,True,M,1964-03-01 00:00:00
121,122,14400000000,Alisher Usmanov,69.0,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,True,M,1953-09-09 00:00:00
122,123,14300000000,Goh Cheng Liang,95.0,Singapore,Singapore,Paints,Manufacturing,Singapore,True,M,1927-06-27 00:00:00
123,124,14200000000,Kumar Birla,55.0,India,Mumbai,Commodities,Diversified,India,False,M,1967-06-14 00:00:00
124,124,14200000000,Aliko Dangote,65.0,Nigeria,Lagos,"Cement, sugar",Manufacturing,Nigeria,True,M,1957-04-10 00:00:00
125,126,14100000000,Kwong Siu-hing,93.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,F,1929-12-02 00:00:00
126,127,14000000000,Idan Ofer,67.0,United Kingdom,London,Shipping,Diversified,Israel,False,M,1955-10-02 00:00:00
127,128,13900000000,Chen Bang,57.0,China,Changsha,Hospitals,Healthcare,China,True,M,1965-09-01 00:00:00
128,128,13900000000,Lui Che Woo,94.0,Hong Kong,Hong Kong,Casinos/hotels,Gambling & Casinos,Hong Kong,True,M,1929-04-01 00:00:00
129,130,13700000000,John Fredriksen,78.0,United Kingdom,London,Shipping,Logistics,Cyprus,True,M,1945-02-01 00:00:00
130,130,13700000000,Diane Hendricks,76.0,United States,Afton,Building supplies,Construction & Engineering,United States,True,F,1947-03-02 00:00:00
131,130,13700000000,Jan Koum,47.0,United States,Atherton,WhatsApp,Technology,United States,True,M,1976-02-24 00:00:00
132,133,13300000000,Jerry Jones,80.0,United States,Dallas,Dallas Cowboys,Sports,United States,True,M,1942-10-13 00:00:00
133,133,13300000000,George Kaiser,80.0,United States,Tulsa,"Oil & gas, banking",Energy,United States,False,M,1942-07-29 00:00:00
134,133,13300000000,Joseph Lau,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1951-07-21 00:00:00
135,136,13200000000,Lu Xiangyang,60.0,China,Guangzhou,"Automobiles, batteries",Automotive,China,True,M,1962-12-28 00:00:00
136,137,13100000000,Harry Triguboff,90.0,Australia,Sydney,Real estate,Real Estate,Australia,True,M,1933-03-03 00:00:00
137,138,12900000000,Uday Kotak,64.0,India,Mumbai,Banking,Finance & Investments,India,True,M,1959-03-15 00:00:00
138,138,12900000000,Stanley Kroenke,75.0,United States,Electra,"Sports, real estate",Sports,United States,True,M,1947-07-29 00:00:00
139,140,12600000000,Mikhail Fridman,58.0,United Kingdom,London,"Oil, banking, telecom",Energy,Russia,True,M,1964-04-21 00:00:00
140,141,12300000000,Sarath Ratanavadi,57.0,Thailand,Bangkok,Energy,Energy,Thailand,True,M,1965-07-12 00:00:00
141,142,12200000000,Dang Yanbao,50.0,China,Yinchuan,Coal,Metals & Mining,China,True,M,1973-02-01 00:00:00
142,142,12200000000,Jiang Rensheng & family,69.0,China,Chongqing,Vaccines,Healthcare,China,True,M,1953-10-08 00:00:00
143,144,12100000000,Shahid Khan,72.0,United States,Naples,Auto parts,Automotive,United States,True,M,1950-07-18 00:00:00
144,145,12000000000,Laurene Powell Jobs & family,59.0,United States,Palo Alto,"Apple, Disney",Technology,United States,False,F,1963-11-06 00:00:00
145,146,11800000000,Robert Kuok,99.0,Hong Kong,Hong Kong,"Palm oil, shipping, property",Diversified,Malaysia,True,M,1923-10-06 00:00:00
146,147,11600000000,Stephen Ross,82.0,United States,New York,Real estate,Real Estate,United States,True,M,1940-05-10 00:00:00
147,148,11500000000,Pavel Durov,38.0,United Arab Emirates,Dubai,Messaging app,Technology,United Arab Emirates,True,M,1984-10-10 00:00:00
148,148,11500000000,Andreas Struengmann & family,73.0,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,True,M,1950-02-16 00:00:00
149,148,11500000000,Thomas Struengmann & family,73.0,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,True,M,1950-02-16 00:00:00
150,151,11400000000,Liu Hanyuan,59.0,China,Chengdu,Agribusiness,Food & Beverage,China,True,M,1964-01-01 00:00:00
151,151,11400000000,Michael Rubin,50.0,United States,Bryn Mawr,Online retail,Fashion & Retail,United States,True,M,1972-07-21 00:00:00
152,153,11300000000,Israel Englander,74.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1948-09-30 00:00:00
153,153,11300000000,Viatcheslav Kantor,69.0,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,Russia,True,M,1953-09-08 00:00:00
154,153,11300000000,Anthony Pratt,62.0,Australia,Melbourne,Manufacturing,Manufacturing,Australia,False,M,1960-04-11 00:00:00
155,153,11300000000,Mikhail Prokhorov,57.0,Switzerland,Frauenfeld,Investments,Finance & Investments,Russia,True,M,1965-05-03 00:00:00
156,157,11100000000,Giorgio Armani,88.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,1934-07-11 00:00:00
157,157,11100000000,Johann Rupert & family,72.0,South Africa,Cape Town,Luxury goods,Fashion & Retail,South Africa,False,M,1950-06-01 00:00:00
158,159,11000000000,Gong Hongjia & family,58.0,Hong Kong,Hong Kong,Video surveillance,Finance & Investments,Hong Kong,True,M,1965-01-01 00:00:00
159,159,11000000000,Zhang Zhidong,51.0,China,Shenzhen,Internet media,Technology,China,True,M,1972-01-01 00:00:00
160,161,10900000000,Philip Anschutz,83.0,United States,Denver,"Energy, sports, entertainment",Finance & Investments,United States,False,M,1939-12-28 00:00:00
161,161,10900000000,Judy Love & family,85.0,United States,Oklahoma City,Gas stations,Fashion & Retail,United States,True,F,1937-06-17 00:00:00
162,161,10900000000,Ricardo Salinas Pliego & family,67.0,Mexico,Mexico City,"Retail, media",Fashion & Retail,Mexico,False,M,1955-10-19 00:00:00
163,164,10700000000,Donald Newhouse,93.0,United States,New York,Media,Media & Entertainment,United States,False,M,1929-08-05 00:00:00
164,165,10600000000,Robert Kraft,81.0,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,True,M,1941-06-05 00:00:00
165,165,10600000000,Marcel Herrmann Telles,73.0,Brazil,Sao Paulo,Beer,Food & Beverage,Brazil,True,M,1950-01-01 00:00:00
166,167,10500000000,Suleiman Kerimov & family,57.0,Russia,Moscow,Gold,Finance & Investments,Russia,True,M,1966-03-12 00:00:00
167,167,10500000000,Sky Xu,39.0,China,Guangzhou,E-commerce,Fashion & Retail,China,True,M,1984-01-01 00:00:00
168,167,10500000000,Changpeng Zhao,45.0,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,Canada,True,M,1977-09-10 00:00:00
169,170,10300000000,Andrew Beal,70.0,United States,Dallas,"Banks, real estate",Finance & Investments,United States,True,M,1952-11-29 00:00:00
170,171,10200000000,Mike Cannon-Brookes,43.0,Australia,Sydney,Software,Technology,Australia,True,M,1979-11-17 00:00:00
171,171,10200000000,Carl Cook,60.0,United States,Bloomington,Medical devices,Healthcare,United States,False,M,1962-08-19 00:00:00
172,171,10200000000,David Duffield,82.0,United States,Incline Village,Business software,Technology,United States,True,M,1940-09-21 00:00:00
173,171,10200000000,Jeffery Hildebrand,64.0,United States,Houston,Oil,Energy,United States,True,M,1959-03-05 00:00:00
174,171,10200000000,Viktor Rashnikov,74.0,Russia,Magnitogorsk,Steel,Manufacturing,Russia,True,M,1948-10-13 00:00:00
175,171,10200000000,Eduardo Saverin,41.0,Singapore,Singapore,Facebook,Technology,Brazil,True,M,1982-03-19 00:00:00
176,171,10200000000,Georg Schaeffler,58.0,Germany,Herzogenaurach,Auto parts,Automotive,Germany,False,M,1964-10-19 00:00:00
177,171,10200000000,Christy Walton,74.0,United States,Jackson,Walmart,Fashion & Retail,United States,False,F,1949-02-08 00:00:00
178,179,10100000000,Scott Farquhar,43.0,Australia,Sydney,Software,Technology,Australia,True,M,1979-12-17 00:00:00
179,179,10100000000,Quek Leng Chan,81.0,Malaysia,Kuala Lumpur,"Banking, property",Diversified,Malaysia,False,M,1941-08-12 00:00:00
180,179,10100000000,Wu Yajun,59.0,China,Beijing,Real estate,Real Estate,China,True,F,1964-01-01 00:00:00
181,182,10000000000,Autry Stephens,85.0,United States,Midland,Oil,Energy,United States,True,M,1938-03-08 00:00:00
182,183,9900000000,Liu Yongxing,74.0,China,Shanghai,Diversified,Service,China,True,M,1948-06-01 00:00:00
183,184,9800000000,Vinod Adani,74.0,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,Cyprus,True,M,1949-01-10 00:00:00
184,184,9800000000,Nicolas Puech,80.0,Switzerland,Martigny,Hermes,Fashion & Retail,France,False,M,1943-01-29 00:00:00
185,184,9800000000,"Jacques Saadé, Jr.",51.0,France,Marseille,Shipping,Logistics,France,False,M,1971-08-10 00:00:00
186,184,9800000000,Rodolphe Saadé,53.0,France,Marseille,Shipping,Logistics,France,False,M,1970-03-03 00:00:00
187,184,9800000000,Tanya Saadé Zeenny,55.0,France,Marseille,Shipping,Logistics,France,False,F,1968-02-01 00:00:00
188,184,9800000000,Melker Schorling & family,75.0,Sweden,Stockholm,Investments,Finance & Investments,Sweden,True,M,1947-05-15 00:00:00
189,190,9700000000,Andrei Guriev & family,63.0,Russia,Moscow,Fertilizers,Manufacturing,Russia,True,M,1960-03-24 00:00:00
190,190,9700000000,Michael Kim,59.0,South Korea,Seoul,Private equity,Finance & Investments,United States,True,M,1963-10-01 00:00:00
191,190,9700000000,Lei Jun,53.0,China,Beijing,Smartphones,Technology,China,True,M,1969-12-16 00:00:00
192,190,9700000000,Friedhelm Loh,76.0,Germany,Haiger,Manufacturing,Manufacturing,Germany,False,M,1946-08-15 00:00:00
193,190,9700000000,Sun Piaoyang,64.0,China,Lianyungang,Pharmaceuticals,Healthcare,China,True,M,1958-09-01 00:00:00
194,195,9600000000,Rick Cohen & family,70.0,United States,Keene,Warehouse automation,Technology,United States,False,M,1952-07-25 00:00:00
195,195,9600000000,Jin Baofang,70.0,China,Xingtai,Solar panels,Energy,China,True,M,1952-09-01 00:00:00
196,195,9600000000,Luo Liguo & family,67.0,China,Ningbo,Chemicals,Manufacturing,China,True,M,1956-03-01 00:00:00
197,195,9600000000,Marijke Mars,58.0,United States,Los Angeles,"Candy, pet food",Food & Beverage,United States,False,F,1964-07-28 00:00:00
198,195,9600000000,Pamela Mars,62.0,United States,Alexandria,"Candy, pet food",Food & Beverage,United States,False,F,1960-08-01 00:00:00
199,195,9600000000,Valerie Mars,64.0,United States,New York,"Candy, pet food",Food & Beverage,United States,False,F,1959-01-26 00:00:00
200,195,9600000000,Victoria Mars,66.0,United States,Philadelphia,"Candy, pet food",Food & Beverage,United States,False,F,1956-12-15 00:00:00
201,202,9500000000,Vincent Bolloré & family,71.0,France,Paris,Investments,Finance & Investments,France,False,M,1952-04-01 00:00:00
202,202,9500000000,Jim Pattison,94.0,Canada,Vancouver,Diversified,Diversified,Canada,True,M,1928-10-01 00:00:00
203,204,9400000000,Ernesto Bertarelli,57.0,Switzerland,Gstaad,"Biotech, investments",Healthcare,Switzerland,False,M,1965-09-22 00:00:00
204,204,9400000000,Wang Xing,44.0,China,Beijing,Food delivery,Technology,China,True,M,1979-02-18 00:00:00
205,206,9300000000,Brian Chesky,41.0,United States,San Francisco,Airbnb,Technology,United States,True,M,1981-08-29 00:00:00
206,206,9300000000,James Dyson,75.0,United Kingdom,Gloucestershire,Vacuums,Manufacturing,United Kingdom,True,M,1947-05-02 00:00:00
207,208,9200000000,Roman Abramovich & family,56.0,Russia,Moscow,"Steel, investments",Diversified,Russia,True,M,1966-10-24 00:00:00
208,208,9200000000,Antonia Ax:son Johnson & family,79.0,Sweden,Stockholm,Diversified,Diversified,Sweden,False,F,1943-09-06 00:00:00
209,208,9200000000,Daniel Kretinsky,47.0,Czech Republic,Prague,"Energy, investments",Energy,Czech Republic,True,M,1975-07-09 00:00:00
210,208,9200000000,John Malone,82.0,United States,Elizabeth,Cable television,Media & Entertainment,United States,True,M,1941-03-07 00:00:00
211,208,9200000000,Azim Premji,77.0,India,Bangalore,Software services,Technology,India,False,M,1945-07-24 00:00:00
