,rank,finalWorth,personName,country,industries,countryOfCitizenship,movement?
1832,1804,1600000000,Vincent Lo,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
1835,1804,1600000000,P.N.C. Menon,United Arab Emirates,Real Estate,Oman,True
1847,1804,1600000000,Yuri Shefler,Switzerland,Food & Beverage,Russia,True
1848,1804,1600000000,Evgeny (Eugene) Shvidler,United Kingdom,Metals & Mining,United States,True
1850,1804,1600000000,Zakhar Smushkin,Russian Federation,Diversified,Russia,True
1883,1905,1500000000,Hamdi Akin & family,Türkiye,Diversified,Turkey,True
1893,1905,1500000000,Saket Burman,United Arab Emirates,Food & Beverage,United Kingdom,True
1894,1905,1500000000,Ahmet Calik,Türkiye,Diversified,Turkey,True
1902,1905,1500000000,Mohammed Dewji,Tanzania (United Republic of),Diversified,Tanzania,True
1915,1905,1500000000,Ho Hung Anh,Viet Nam,Finance & Investments,Vietnam,True
1922,1905,1500000000,Kim Jun-ki,Korea (Republic of),Diversified,South Korea,True
1926,1905,1500000000,Spiro Latsis & family,Switzerland,Diversified,Greece,True
1933,1905,1500000000,Li Shui-po,China,Manufacturing,Taiwan,True
1935,1905,1500000000,Liu Xiucai & family,China,Manufacturing,United States,True
1943,1905,1500000000,Robert Mouawad,Bahrain,Service,Lebanon,True
1946,1905,1500000000,Stefan Olsson,United Kingdom,Diversified,Sweden,True
1961,1905,1500000000,Leonid Simanovsky,Russian Federation,Finance & Investments,Russia,True
1967,1905,1500000000,Sergei Studennikov & family,Russian Federation,Fashion & Retail,Russia,True
1977,1905,1500000000,Carmen Thyssen,Andorra,Manufacturing,Spain,True
1978,1905,1500000000,Tran Ba Duong & family,Viet Nam,Automotive,Vietnam,True
1984,1905,1500000000,Gordon Wu,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
1997,2020,1400000000,Binny Bansal,Singapore,Technology,India,True
2000,2020,1400000000,Vladimir Bogdanov,Russian Federation,Energy,Russia,True
2010,2020,1400000000,Reinold Geiger,Switzerland,Fashion & Retail,Austria,True
2011,2020,1400000000,Ali Ghodsi,United States,Technology,Sweden,True
2015,2020,1400000000,Torstein Hagen,Switzerland,Service,Norway,True
2016,2020,1400000000,Ayman Hariri,France,Construction & Engineering,Lebanon,True
2019,2020,1400000000,Christoph Henkel,United Kingdom,Fashion & Retail,Germany,True
2025,2020,1400000000,Kim Taek-jin,Korea (Republic of),Media & Entertainment,South Korea,True
2027,2020,1400000000,Sergei Kolesnikov,Russian Federation,Manufacturing,Russia,True
2029,2020,1400000000,Sebastian Kulczyk,Switzerland,Finance & Investments,Poland,True
2036,2020,1400000000,Raymond Kwok,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
2037,2020,1400000000,Lee Ho-jin,Korea (Republic of),Diversified,South Korea,True
2039,2020,1400000000,Manfredi Lefebvre d'Ovidio & family,Monaco,Service,Italy,True
2046,2020,1400000000,Liu Ming Chung,"Hong Kong, China (SAR)",Manufacturing,Brazil,True
2047,2020,1400000000,Anatoly Lomakin,Russian Federation,Metals & Mining,Russia,True
2070,2020,1400000000,Rihanna,United States,Fashion & Retail,Barbados,True
2071,2020,1400000000,Boris Rotenberg,Russian Federation,Construction & Engineering,Russia,True
2073,2020,1400000000,Igor Rybakov,Russian Federation,Manufacturing,Russia,True
2076,2020,1400000000,Airat Shaimiev,Russian Federation,Energy,Russia,True
2077,2020,1400000000,Radik Shaimiev,Russian Federation,Energy,Russia,True
2097,2020,1400000000,Yu Peidi,China,Real Estate,Hong Kong,True
2098,2020,1400000000,Yuan Liping,China,Healthcare,Canada,True
2106,2020,1400000000,Boris Zingarevich,Russian Federation,Diversified,Russia,True
2112,2133,1300000000,Roman Avdeev,Russian Federation,Finance & Investments,Russia,True
2116,2133,1300000000,Elena Baturina,United Kingdom,Construction & Engineering,Russia,True
2121,2133,1300000000,Stewart Butterfield,United States,Technology,Canada,True
2134,2133,1300000000,Aydin Dogan,Türkiye,Media & Entertainment,Turkey,True
2147,2133,1300000000,Hoi Kin Hong,China,Real Estate,Macau,True
2155,2133,1300000000,Laurent Junique,Singapore,Technology,France,True
2162,2133,1300000000,Eduard Kucera,Czechia,Technology,Czech Republic,True
2163,2133,1300000000,Kristo Käärmann,United Kingdom,Finance & Investments,Estonia,True
2165,2133,1300000000,Lee Hae-jin,Korea (Republic of),Technology,South Korea,True
2174,2133,1300000000,Lv Jianming,China,Healthcare,Hong Kong,True
2181,2133,1300000000,Martin Moller Nielsen,Switzerland,Logistics,Denmark,True
2184,2133,1300000000,Nguyen Dang Quang,Viet Nam,Food & Beverage,Vietnam,True
2194,2133,1300000000,Igor Rotenberg,Russian Federation,Diversified,Russia,True
2195,2133,1300000000,Seifeddin Rustamov,United States,Manufacturing,Russia,True
2196,2133,1300000000,Deniz Sahenk,Türkiye,Diversified,Turkey,True
2201,2133,1300000000,Albert Shigaboutdinov,Russian Federation,Diversified,Russia,True
2202,2133,1300000000,Denis Shtengelov,Australia,Food & Beverage,Russia,True
2207,2133,1300000000,Konstantin Strukov & family,Russian Federation,Metals & Mining,Russia,True
2208,2133,1300000000,Rustem Sulteev,Russian Federation,Energy,Russia,True
2217,2133,1300000000,Myron Wentz,Cayman Islands,Fashion & Retail,St. Kitts and Nevis,True
2225,2133,1300000000,Zhao Tongtong,"Hong Kong, China (SAR)",Service,Canada,True
2231,2259,1200000000,Jose Maria Aristrain,Switzerland,Metals & Mining,Spain,True
2234,2259,1200000000,Mehmet Aydinlar,Türkiye,Healthcare,Turkey,True
2246,2259,1200000000,Chung Yong-jin,Korea (Republic of),Fashion & Retail,South Korea,True
2252,2259,1200000000,Sefik Yilmaz Dizdar,Türkiye,Fashion & Retail,Turkey,True
2267,2259,1200000000,Fahed Hariri,United Kingdom,Construction & Engineering,Lebanon,True
2271,2259,1200000000,Lawrence Ho,"Hong Kong, China (SAR)",Gambling & Casinos,Hong Kong,True
2280,2259,1200000000,Alexander Klyachin,Russian Federation,Real Estate,Russia,True
2285,2259,1200000000,Lee Su-jin,Korea (Republic of),Technology,South Korea,True
2291,2259,1200000000,Liu Ming Hui,"Hong Kong, China (SAR)",Energy,China,True
2307,2259,1200000000,Vitaly Orlov,Russian Federation,Food & Beverage,Russia,True
2315,2259,1200000000,Andrei Rappoport,Switzerland,Finance & Investments,Russia,True
2319,2259,1200000000,Thomas Sandell,United Kingdom,Finance & Investments,Sweden,True
2321,2259,1200000000,Dhruv Sawhney,United Arab Emirates,Construction & Engineering,India,True
2323,2259,1200000000,Antonio Luiz Seabra,United Kingdom,Fashion & Retail,Brazil,True
2325,2259,1200000000,Sytse 'Sid' Sijbrandij,United States,Technology,Netherlands,True
2330,2259,1200000000,Mike Speiser,United Kingdom,Technology,United States,True
2334,2259,1200000000,Ion Stoica,United States,Technology,Romania,True
2346,2259,1200000000,Thomas von Koch,"Hong Kong, China (SAR)",Finance & Investments,Sweden,True
2363,2259,1200000000,Vadim Yakunin,Russian Federation,Healthcare,Russia,True
2365,2259,1200000000,Matei Zaharia,United States,Technology,Romania,True
2369,2259,1200000000,Ning Zhao,China,Healthcare,United States,True
2373,2405,1100000000,Farkhad Akhmedov,Russian Federation,Energy,Russia,True
2380,2405,1100000000,Oleg Boyko,Switzerland,Diversified,Russia,True
2400,2405,1100000000,Henry Engelhardt,United Kingdom,Finance & Investments,United States,True
2404,2405,1100000000,Gleb Fetisov,Cyprus,Telecom,Russia,True
2412,2405,1100000000,Pavel Golubkov,Russian Federation,Real Estate,Russia,True
2415,2405,1100000000,Said Gutseriev,United Kingdom,Energy,Russia,True
2416,2405,1100000000,Polys Haji-Ioannou,Monaco,Service,Cyprus,True
2427,2405,1100000000,Jonas Kamprad,United Kingdom,Finance & Investments,Sweden,True
2428,2405,1100000000,Mathias Kamprad,United Kingdom,Finance & Investments,Sweden,True
2429,2405,1100000000,Peter Kamprad,Belgium,Finance & Investments,Sweden,True
2431,2405,1100000000,Sunjay Kapur,India,Automotive,United States,True
2432,2405,1100000000,Ali Metin Kazanci,Türkiye,Energy,Turkey,True
2434,2405,1100000000,Carsten Koerl,Switzerland,Sports,Germany,True
2435,2405,1100000000,Koo Bon-sik,Korea (Republic of),Technology,South Korea,True
2436,2405,1100000000,Andrei Kosogov,Russian Federation,Energy,Russia,True
2440,2405,1100000000,Lee Joong-keun,Korea (Republic of),Construction & Engineering,South Korea,True
2453,2405,1100000000,Dmitry Nikolaev,Russian Federation,Energy,Russia,True
2454,2405,1100000000,Sjamsul Nursalim,Singapore,Automotive,Indonesia,True
2479,2405,1100000000,Arkady Volozh,Israel,Technology,Russia,True
2484,2405,1100000000,Allan Wong,"Hong Kong, China (SAR)",Manufacturing,Hong Kong,True
2487,2405,1100000000,Wu Kaiting,China,Telecom,Hong Kong,True
2503,2405,1100000000,Zhuo Jun,"Hong Kong, China (SAR)",Manufacturing,Hong Kong,True
2505,2540,1000000000,Christian Angermayer,United Kingdom,Finance & Investments,Germany,True
2519,2540,1000000000,Tianqiao Chen,United States,Technology,China,True
2521,2540,1000000000,Cheng Antares,"Hong Kong, China (SAR)",Food & Beverage,Hong Kong,True
2523,2540,1000000000,John Christodoulou,Monaco,Real Estate,United Kingdom,True
2524,2540,1000000000,Pollyanna Chu,"Hong Kong, China (SAR)",Finance & Investments,Hong Kong,True
2525,2540,1000000000,Turgay Ciner,Türkiye,Diversified,Turkey,True
2527,2540,1000000000,Mark Dixon,Monaco,Real Estate,United Kingdom,True
2535,2540,1000000000,Clelia Haji-Ioannou,Monaco,Service,Cyprus,True
2536,2540,1000000000,Stelios Haji-Ioannou,Monaco,Service,Cyprus,True
2541,2540,1000000000,Hong Seok-joh,Korea (Republic of),Fashion & Retail,South Korea,True
2553,2540,1000000000,Muhammed Aziz Khan,Singapore,Energy,Bangladesh,True
2554,2540,1000000000,Kim Jung-woong,Korea (Republic of),Fashion & Retail,South Korea,True
2555,2540,1000000000,Ihor Kolomoyskyy,Ukraine,Diversified,Israel,True
2557,2540,1000000000,Koo Bon-neung,Korea (Republic of),Manufacturing,South Korea,True
2560,2540,1000000000,Lev Kvetnoi,Russian Federation,Finance & Investments,Russia,True
2567,2540,1000000000,Apoorva Mehta,United States,Technology,Canada,True
2570,2540,1000000000,Andrei Molchanov,Russian Federation,Construction & Engineering,Russia,True
2574,2540,1000000000,Vera Rechulski Santo Domingo,Bermuda,Food & Beverage,Brazil,True
2580,2540,1000000000,Ivan Streshinsky,Russian Federation,Diversified,Russia,True
2581,2540,1000000000,Sergei Sudarikov,Russian Federation,Finance & Investments,Russia,True
2586,2540,1000000000,Murat Vargi,Türkiye,Telecom,Turkey,True
2592,2540,1000000000,Toto Wolff,Monaco,Sports,Austria,True
