,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,hdi_rank_2021,hdi,life_expectancy,expected_years_schooling,mean_years_schooling,gni_per_capita,hdi_tier,gdp_2022,tax_rev_2021,edu_primary_2022,edu_tertiary_2022
12,13,77300000000,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,M,1936-03-28 00:00:00,27.0,0.905,83.0,17.9,10.6,38354.0,Very high,1397509272054.48,15.2250253140013,102.899139404297,94.5903778076172
13,14,76000000000,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,M,1973-08-21 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
14,15,68000000000,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,M,1954-12-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
15,16,64400000000,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,M,1984-05-14 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
16,17,59000000000,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,M,1935-11-01 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
17,17,59000000000,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,F,1962-04-12 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
18,19,58800000000,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,1948-06-07 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
19,20,57600000000,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,1944-10-27 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
20,21,56700000000,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,F,1949-10-07 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
21,22,54400000000,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,M,1957-06-12 00:00:00,15.0,0.936,82.7,16.4,13.8,46808.0,Very high,2139840023673.81,13.2594283273391,96.2922668457031,77.8016510009766
22,23,50100000000,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,M,1965-02-23 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
23,24,47200000000,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,M,1962-06-24 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
24,25,45100000000,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,M,1938-02-24 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
25,26,45000000000,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,M,1984-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
26,27,42900000000,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,M,1939-09-24 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
27,28,40100000000,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,M,1936-08-21 00:00:00,28.0,0.903,82.5,15.8,11.6,45937.0,Very high,2782905325624.52,23.9683390180217,102.744186401367,68.974853515625
28,29,39100000000,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,M,1937-06-02 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
29,30,38900000000,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,M,1964-09-21 00:00:00,13.0,0.937,81.9,19.6,12.4,52293.0,Very high,578604103123.349,23.3494872155617,101.821136474609,82.6882019042969
30,31,38300000000,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,F,1939-10-10 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
31,31,38300000000,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,1935-10-15 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
32,33,38000000000,Li Ka-shing,94.0,"Hong Kong, China (SAR)",,Diversified,Diversified,Hong Kong,True,M,1928-06-13 00:00:00,4.0,0.952,85.5,17.3,12.2,62607.0,Very high,359838598806.091,,103.451057434082,104.223243713379
33,34,35300000000,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,M,1971-10-29 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
34,35,35000000000,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,1945-10-10 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
35,35,35000000000,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,1968-10-15 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
36,37,34700000000,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,M,1992-05-07 00:00:00,25.0,0.916,81.6,16.0,12.3,53619.0,Very high,471400066091.247,25.7829602150365,101.644119262695,93.940071105957
37,38,33400000000,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,M,1969-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
38,39,32600000000,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,M,1949-02-07 00:00:00,19.0,0.925,84.8,15.2,13.4,42274.0,Very high,4231141201863.17,11.5907617945814,102.736831665039,62.1358413696289
39,40,32100000000,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,M,1957-06-01 00:00:00,18.0,0.929,80.7,17.3,13.4,45225.0,Very high,3070667732359.21,26.3806653552082,102.179847717285,77.0131607055664
40,41,31600000000,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1948-08-28 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
41,41,31600000000,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1951-01-09 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
42,43,31200000000,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,M,1940-06-27 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
43,43,31200000000,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,F,1945-03-26 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
44,45,30200000000,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,M,1980-02-02 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
45,46,29700000000,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,M,1935-04-20 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
46,47,29500000000,Lee Shau Kee,95.0,"Hong Kong, China (SAR)",Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1928-01-29 00:00:00,4.0,0.952,85.5,17.3,12.2,62607.0,Very high,359838598806.091,,103.451057434082,104.223243713379
47,48,28500000000,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,M,1958-07-17 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
48,49,28100000000,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,M,1938-04-25 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
49,50,27800000000,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,M,1947-02-14 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
50,51,27400000000,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,F,1962-04-28 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
51,52,27000000000,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,F,1954-02-09 00:00:00,5.0,0.951,84.5,21.1,12.7,49238.0,Very high,1675418665067.09,23.1275046036399,99.9291534423828,112.688293457031
52,53,26700000000,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,M,1971-10-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
53,54,26600000000,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,M,1953-10-26 00:00:00,86.0,0.758,70.2,14.9,9.2,17896.0,High,1414187193992.25,13.8720298113292,103.358810424805,45.6506195068359
54,55,25600000000,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,M,1945-07-18 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
55,56,25500000000,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,M,1948-04-17 00:00:00,114.0,0.705,67.6,13.7,8.6,11466.0,High,1319100220389.02,9.09404244081396,100.644996643066,42.633171081543
56,57,25300000000,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,M,1944-09-30 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
57,58,25200000000,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,M,1972-03-08 00:00:00,26.0,0.911,78.7,15.7,12.7,62574.0,Very high,507534921715.453,0.535446408543777,115.833160400391,52.7062187194824
58,59,24600000000,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,M,1966-05-09 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
59,60,24400000000,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,F,1970-04-07 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
60,61,24200000000,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,M,1941-01-01 00:00:00,114.0,0.705,67.6,13.7,8.6,11466.0,High,1319100220389.02,9.09404244081396,100.644996643066,42.633171081543
61,62,23700000000,Vladimir Potanin,62.0,Russian Federation,Moscow,Metals,Metals & Mining,Russia,True,M,1961-01-03 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
62,63,23500000000,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,M,1964-09-10 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
63,64,23400000000,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,M,1942-08-11 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
64,65,23100000000,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,F,1943-01-01 00:00:00,42.0,0.855,78.9,16.7,10.9,24563.0,Very high,301025249437.947,19.5981815070726,99.3652267456055,96.2227935791016
65,65,23100000000,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,M,1939-10-02 00:00:00,114.0,0.705,67.6,13.7,8.6,11466.0,High,1319100220389.02,9.09404244081396,100.644996643066,42.633171081543
66,67,22900000000,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1953-01-01 00:00:00,18.0,0.929,80.7,17.3,13.4,45225.0,Very high,3070667732359.21,26.3806653552082,102.179847717285,77.0131607055664
67,68,22600000000,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,M,1941-05-11 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
68,69,22400000000,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,M,1957-08-11 00:00:00,19.0,0.925,84.8,15.2,13.4,42274.0,Very high,4231141201863.17,11.5907617945814,102.736831665039,62.1358413696289
69,70,22100000000,Vladimir Lisin,66.0,Russian Federation,Moscow,"Steel, transport",Metals & Mining,Russia,True,M,1956-05-07 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
70,71,22000000000,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,M,1970-09-18 00:00:00,28.0,0.903,82.5,15.8,11.6,45937.0,Very high,2782905325624.52,23.9683390180217,102.744186401367,68.974853515625
71,72,21600000000,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,1961-12-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
72,72,21600000000,Leonid Mikhelson & family,67.0,Russian Federation,Moscow,"Gas, chemicals",Energy,Russia,True,M,1955-08-11 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
73,74,21200000000,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,M,1986-09-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
74,74,21200000000,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,M,1970-10-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
75,76,21100000000,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,M,1963-02-17 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
76,77,21000000000,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,1933-03-19 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
77,77,21000000000,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,M,1945-06-10 00:00:00,19.0,0.925,84.8,15.2,13.4,42274.0,Very high,4231141201863.17,11.5907617945814,102.736831665039,62.1358413696289
78,79,20900000000,Alexey Mordashov & family,57.0,Russian Federation,Moscow,"Steel, investments",Metals & Mining,Russia,True,M,1965-09-26 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
79,80,20500000000,Vagit Alekperov,72.0,Russian Federation,Moscow,Oil,Energy,Russia,True,M,1950-09-01 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
80,81,20200000000,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,M,1938-08-12 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
81,82,19600000000,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,M,1961-11-18 00:00:00,5.0,0.951,84.5,21.1,12.7,49238.0,Very high,1675418665067.09,23.1275046036399,99.9291534423828,112.688293457031
82,83,19100000000,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,1949-08-08 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
83,84,19000000000,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,M,1963-06-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
84,84,19000000000,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,M,1968-03-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
85,86,18900000000,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,M,1950-06-02 00:00:00,,,,,,,,8596156573.64327,,126.725776672363,49.079029083252
86,86,18900000000,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,M,1965-04-17 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
87,88,18700000000,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,M,1966-02-15 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
88,89,18500000000,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,M,1945-12-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
89,89,18500000000,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,1957-09-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
90,89,18500000000,Gennady Timchenko,70.0,Russian Federation,Moscow,"Oil, gas",Energy,Russia,True,M,1952-11-09 00:00:00,52.0,0.822,69.4,15.8,12.8,27166.0,Very high,2240422438363.27,11.6475664289146,104.132827758789,83.3284912109375
91,92,18000000000,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1962-01-17 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
92,93,17700000000,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,False,M,1950-06-15 00:00:00,18.0,0.929,80.7,17.3,13.4,45225.0,Very high,3070667732359.21,26.3806653552082,102.179847717285,77.0131607055664
93,94,17500000000,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,1956-06-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
94,94,17500000000,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,True,M,1936-02-16 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
95,94,17500000000,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,India,False,F,1950-03-20 00:00:00,132.0,0.633,67.2,11.9,6.7,6590.0,Medium,3385089881935.39,12.0174277483166,108.145172119141,31.5712585449219
96,97,17400000000,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,True,M,1932-05-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
97,97,17400000000,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,M,1940-01-22 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
98,99,17100000000,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,M,1931-03-11 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
99,100,16700000000,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,F,1953-01-01 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
100,101,16500000000,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,M,1951-01-01 00:00:00,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
101,101,16500000000,Renata Kellnerova & family,55.0,Czechia,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,F,1967-07-04 00:00:00,32.0,0.889,77.7,16.2,12.9,38745.0,Very high,290923534700.518,13.3610380051981,99.8488922119141,69.1061782836914
102,103,16300000000,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,Singapore,True,M,1951-01-01 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
103,104,16200000000,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,M,1947-10-04 00:00:00,7.0,0.947,83.0,19.4,12.6,54489.0,Very high,585939170123.856,27.3368192104049,117.347633361816,85.9426193237305
104,104,16200000000,Eric Schmidt,67.0,United States,Atherton,Google,Technology,United States,True,M,1955-04-27 00:00:00,21.0,0.921,77.2,16.3,13.7,64765.0,Very high,25462700000000.0,11.2336202024258,98.3054885864258,84.8550872802734
105,106,16000000000,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,1968-03-18 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
106,107,15900000000,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,China,True,M,1956-01-19 00:00:00,79.0,0.768,78.2,14.2,7.6,17504.0,High,17963170521079.8,7.96512789790095,100.171730041504,71.9815521240234
107,108,15800000000,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,False,M,,9.0,0.942,80.6,17.0,14.1,54534.0,Very high,4072191736089.51,11.2252932602207,101.346549987793,75.6655426025391
108,108,15800000000,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Beer,Food & Beverage,Brazil,True,M,1939-08-26 00:00:00,1.0,0.962,84.0,16.5,13.9,66933.0,Very high,807706035351.75,10.2546515115504,101.478240966797,71.893928527832
